words,noun,adverb,preposition,adjective,verb,conjunction,interjection,pronoun,proper_noun,numeral
engine,1,0,0,0,1,0,0,0,0,0
engineer,1,0,0,0,1,0,0,0,0,0
enjoy,0,0,0,0,1,0,0,0,0,0
enough,0,1,0,0,0,0,1,1,0,0
enter,1,0,0,0,1,0,0,0,0,0
eraser,1,0,0,0,0,0,0,0,0,0
error,1,0,0,0,1,0,0,0,0,0
evening,1,0,0,0,1,0,0,0,0,0
exam,1,0,0,0,1,0,0,0,0,0
examination,1,0,0,0,0,0,0,0,0,0
example,1,0,0,0,1,0,0,0,0,0
exercise,1,0,0,0,1,0,0,0,0,0
exit,1,0,0,0,1,0,0,0,0,0
eye,1,0,0,0,1,0,0,0,0,0
face,1,0,0,0,1,0,0,0,0,0
fact,1,0,0,0,0,0,1,0,0,0
factory,1,0,0,1,0,0,0,0,0,0
fail,1,0,0,1,1,0,0,0,0,0
fall,1,0,0,0,1,0,0,0,0,0
fallen,1,0,0,1,1,0,0,0,0,0
fell,1,1,0,1,1,0,0,0,0,0
family,1,0,0,1,0,0,0,0,0,0
famous,0,0,0,1,1,0,0,0,0,0
fan,1,0,0,0,1,0,0,0,0,0
fanned,0,0,0,0,1,0,0,0,0,0
fanning,1,0,0,0,1,0,0,0,0,0
fantastic,1,0,0,1,0,0,0,0,0,0
far,1,1,0,1,0,0,0,0,0,0
farm,1,0,0,0,1,0,0,0,0,0
fast,1,1,0,1,1,0,1,0,0,0
fat,1,0,0,1,1,0,0,0,0,0
fatted,0,0,0,1,0,0,0,0,0,0
fatting,0,0,0,0,1,0,0,0,0,0
fatter,0,0,0,1,0,0,0,0,0,0
fattest,0,0,0,1,0,0,0,0,0,0
father,1,0,0,0,1,0,0,0,0,0
favorite,1,0,0,1,1,0,0,0,0,0
favourite,1,0,0,1,1,0,0,0,0,0
feel,1,1,0,1,1,0,0,1,0,0
felt,1,0,0,1,1,0,0,0,0,0
fever,1,0,0,0,1,0,0,0,0,0
field,1,0,0,0,1,0,0,0,0,0
fight,1,0,0,0,1,0,0,0,0,0
fought,0,0,0,0,1,0,0,0,0,0
file,1,0,0,0,1,0,0,0,0,0
fill,1,0,0,0,1,0,0,0,0,0
find,1,0,0,0,1,0,0,0,0,0
found,1,0,0,0,1,0,0,0,0,0
fine,1,1,0,1,1,0,0,0,0,0
finger,1,0,0,0,1,0,0,0,0,0
finish,1,0,0,0,1,0,0,0,0,0
fire,1,0,0,1,1,0,0,0,0,0
fish,1,0,0,0,1,0,0,0,0,0
fishes,1,0,0,0,1,0,0,0,0,0
fix,1,0,0,0,1,0,0,0,0,0
flag,1,0,0,0,1,0,0,0,0,0
flagged,0,0,0,1,1,0,0,0,0,0
flagging,1,0,0,0,1,0,0,0,0,0
floor,1,0,0,0,1,0,0,0,0,0
flower,1,0,0,0,1,0,0,0,0,0
fly,1,0,0,1,1,0,0,0,0,0
flew,1,0,0,1,1,0,0,0,0,0
flown,0,0,0,1,1,0,0,0,0,0
focus,1,0,0,0,1,0,0,0,0,0
foci,1,0,0,0,0,0,0,0,0,0
fog,1,0,0,0,1,0,0,0,0,0
fogged,0,0,0,0,1,0,0,0,0,0
fogging,1,0,0,0,1,0,0,0,0,0
food,1,0,0,0,0,0,0,0,0,0
fool,1,0,0,1,1,0,0,0,0,0
foot,1,0,0,0,1,0,0,0,0,0
feet,1,0,0,0,0,0,0,0,0,0
football,1,0,0,0,1,0,0,0,0,0
forest,1,0,0,0,1,0,0,0,0,0
forest,1,0,0,0,1,0,0,0,0,0
forever,1,1,0,1,0,0,0,0,0,0
forget,0,0,0,0,1,0,0,0,0,0
forgetting,1,0,0,0,1,0,0,0,0,0
forgot,0,0,0,0,1,0,0,0,0,0
forgotten,1,0,0,1,1,0,0,0,0,0
form,1,0,0,0,1,0,0,0,0,0
fox,1,0,0,0,1,0,0,0,0,0
free,1,1,0,1,1,0,0,0,0,0
freer,1,0,0,1,0,0,0,0,0,0
freest,0,0,0,1,1,0,0,0,0,0
fresh,1,1,0,1,1,0,0,0,0,0
friend,1,0,0,0,1,0,0,0,0,0
frog,1,0,0,0,1,0,0,0,0,0
frogged,0,0,0,1,1,0,0,0,0,0
frogging,1,0,0,0,1,0,0,0,0,0
from,0,0,1,0,0,0,0,0,0,0
front,1,0,0,1,1,0,0,0,0,0
fruit,1,0,0,0,1,0,0,0,0,0
fry,1,0,0,0,1,0,0,0,0,0
fried,0,0,0,1,1,0,0,0,0,0
full,1,1,0,1,1,0,0,0,0,0
fun,1,0,0,1,1,0,0,0,0,0
funned,0,0,0,0,1,0,0,0,0,0
funning,0,0,0,0,1,0,0,0,0,0
future,1,0,0,1,0,0,0,0,0,0
garden,1,0,0,1,1,0,0,0,0,0
gate,1,0,0,0,1,0,0,0,0,0
gentleman,1,0,0,0,0,0,0,0,0,0
gesture,1,0,0,0,1,0,0,0,0,0
get,1,0,0,0,1,0,0,0,0,0
getting,1,0,0,0,1,0,0,0,0,0
got,0,0,0,0,1,0,0,0,0,0
gotten,0,0,0,1,1,0,0,0,0,0
ghost,1,0,0,0,1,0,0,0,0,0
giant,1,0,0,1,0,0,0,0,0,0
gift,1,0,0,0,1,0,0,0,0,0
giraffe,1,0,0,0,0,0,0,0,0,0
girl,1,0,0,0,1,0,0,0,0,0
give,1,0,0,0,1,0,0,0,0,0
gave,0,0,0,0,1,0,0,0,0,0
given,1,0,1,1,1,0,0,0,0,0
glad,0,0,0,1,1,0,0,0,0,0
gladder,0,0,0,1,0,0,0,0,0,0
gladdest,0,0,0,1,0,0,0,0,0,0
glass,1,0,0,0,1,0,0,0,0,0
glove,1,0,0,0,1,0,0,0,0,0
glue,1,0,0,0,1,0,0,0,0,0
go,1,0,0,1,1,0,0,0,0,0
gone,0,0,1,1,1,0,0,0,0,0
went,1,0,0,0,1,0,0,0,0,0
goes,1,0,0,0,1,0,0,0,0,0
goal,1,0,0,0,1,0,0,0,0,0
god,1,0,0,0,1,0,0,0,1,0
gold,1,1,0,1,1,0,0,0,0,0
good,1,1,0,1,1,0,1,0,0,0
best,1,1,0,1,1,0,0,0,0,0
better,1,1,0,1,1,0,0,0,0,0
goodbye,1,0,0,0,1,0,1,0,0,0
grandfather,1,0,0,0,1,0,0,0,0,0
grape,1,0,0,1,1,0,0,0,0,0
grass,1,0,0,0,1,0,0,0,0,0
great,1,1,0,1,0,0,1,0,0,0
green,1,0,0,1,1,0,0,0,0,0
grey,1,0,0,1,1,0,0,0,0,0
gray,1,0,0,1,1,0,0,0,0,0
ground,1,0,0,1,1,0,0,0,0,0
group,1,0,0,0,1,0,0,0,0,0
grow,0,0,0,0,1,0,0,0,0,0
grew,0,0,0,0,1,0,0,0,0,0
grown,0,0,0,1,1,0,0,0,0,0
guess,1,0,0,0,1,0,0,0,0,0
guide,1,0,0,0,1,0,0,0,0,0
guy,1,0,0,0,1,0,0,0,0,0
habit,1,0,0,0,1,0,0,0,0,0
hair,1,0,0,0,1,0,0,0,0,0
hand,1,0,0,0,1,0,0,0,0,0
handsome,0,0,0,1,1,0,0,0,0,0
hang,1,0,0,0,1,0,0,0,0,0
hung,0,0,0,1,1,0,0,0,0,0
happy,1,0,0,1,1,0,0,0,0,0
